Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_31_628.jpg;0;0;1;0;99.66999;85.58907;0.0002342301;276.244;-9.466934E-07
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_31_670.jpg;0;0;0;0;99.66999;85.58907;0.0002342362;276.244;-8.334701E-07
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_31_720.jpg;0;0;0;0;99.66999;85.58907;0.0002342217;276.244;-1.099878E-06
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_31_769.jpg;0;0;0;0;99.66999;85.58907;0.0002342275;276.244;-9.933149E-07
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_31_819.jpg;0;0;0;0;99.66999;85.58907;0.000234213;276.244;-1.259723E-06
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_31_869.jpg;0;0;0;0;99.66999;85.58907;0.0002342192;276.244;-1.146499E-06
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_31_921.jpg;0;0;0;0;99.66999;85.58907;0.0002342606;276.244;-3.872358E-07
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_31_971.jpg;0;0;0;0;99.66999;85.58907;0.0002342108;276.244;-1.299685E-06
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_32_020.jpg;0;0;0;0;99.66999;85.58907;0.0002342522;276.244;-5.404211E-07
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_32_069.jpg;0;0;0;0;99.66999;85.58907;0.0002342025;276.244;-1.452869E-06
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_32_120.jpg;0;0;0;0;99.66999;85.58907;0.0002342439;276.244;-6.936055E-07
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_32_169.jpg;0;0;0;0;99.66999;85.58907;0.0002341941;276.244;-1.606054E-06
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_32_220.jpg;0;0;0;0;99.66999;85.58907;0.0002342355;276.244;-8.4679E-07
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_32_271.jpg;0;0;0;0;99.66999;85.58907;0.0002342421;276.244;-7.269064E-07
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_32_322.jpg;0;0;0;0;99.66999;85.58907;0.0002342275;276.244;-9.933149E-07
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_32_371.jpg;0;0;0;0;99.66999;85.58907;0.0002342337;276.244;-8.800909E-07
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_32_420.jpg;0;0;0;0;99.66999;85.58907;0.0002342192;276.244;-1.146499E-06
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_32_470.jpg;0;0;0;0;99.66999;85.58907;0.0002342257;276.244;-1.026616E-06
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_32_520.jpg;1.023036;0;0;0;99.66999;85.58907;0.00023527;276.3054;-1.586431E-06
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_32_570.jpg;3.994488;0;0;0;99.66999;85.58907;0.0002350673;276.8412;-2.333574E-06
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_32_620.jpg;7.034442;0;0;0;99.66999;85.58907;0.0002360568;277.5618;-4.730567E-06
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_32_673.jpg;10.18466;0;0;0;99.66999;85.58907;0.0002368426;279.2035;-1.050851E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_32_721.jpg;8.291027;0;0;0;99.66999;85.58907;0.0002387103;280.312;-1.460128E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_32_770.jpg;8.222507;0;0;0;99.66999;85.58907;0.0002399215;281.9185;-2.060464E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_32_819.jpg;5.245055;0;0;0;99.66999;85.58907;0.0002413726;282.6661;-2.138225E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_32_870.jpg;2.280761;0;0;0;99.66999;85.58907;0.0002410722;283.2543;-2.053628E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_32_919.jpg;0;0;0;0;99.66999;85.58907;0.000240523;283.3301;-1.792191E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_32_971.jpg;0;0;0;0;99.66999;85.58907;0.0002400635;283.3301;-1.633711E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_33_021.jpg;3.022386;0;0;0;99.66999;85.58907;0.000241412;283.5772;-1.606052E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_33_069.jpg;5.959049;0;0;0;99.66999;85.58907;0.0002432503;284.4745;-1.598057E-05
